feature,mean_abs_shap
defo_rate_1500m_wmean,0.92652726
defo_rate_500m_wmean,0.53547233
treecover2000,0.30048385
defo_rate_5000m_wmean,0.2232541
defo_rate_5000m_Lag1,0.16001265
defo_rate_150m_wmean,0.14134316
defo_rate_1500m_Lag1,0.051832832
cum_deforested_Lag1,0.048669674
et_d1_wanom_Lag3,0.040544383
defo_rate_5000m_Lag2,0.037654832
et_d1_wtrend,0.031736616
pop_Lag4,0.029125324
defo_rate_5000m_Lag3,0.028578592
defo_rate_5000m_d1_Lag1,0.026096838
temperature_2m_Lag2,0.025885144
temperature_2m_Lag3,0.02231673
pop_d1_Lag3,0.022046965
defo_rate_1500m_Lag2,0.02185795
pop_d1_wtrend,0.02145499
hot_days_d3_wanom_Lag1,0.020036578
sm_surface_d3_Lag2,0.019808061
sm_surface_d1_wanom_Lag1,0.015889958
dist_settlement_km,0.014725464
sm_surface_wanom_Lag3,0.014302287
pa_defo_rate,0.0138021335
hot_days_d1_wanom_Lag4,0.013627297
ntl_cv_Lag1,0.01222333
sm_std_d3_Lag2,0.010608248
et_d1_wmean,0.010491609
pop_Lag3,0.010160887
et_Lag4,0.00992823
temperature_2m_max_d1_wtrend,0.009711136
sm_std_d3_wmean,0.00960933
cum_deforested_wmean,0.009248892
hot_days_d1_wtrend,0.009183255
defo_rate_5000m_d1_wmean,0.0089227045
defo_rate_5000m_d1_wanom_Lag3,0.008829235
precip_max_wmean,0.008738624
defo_rate_150m_d3_wanom_Lag1,0.008461072
defo_rate_150m_wanom_Lag3,0.008456914
defo_rate_150m_Lag1,0.008454271
elevation,0.008160923
temperature_2m_wmean,0.008016288
sm_std_Lag2,0.007914488
sm_surface_d1_Lag1,0.007903934
defo_rate_5000m_d1_wanom_Lag1,0.0078621255
hot_days_wanom_Lag3,0.007797253
hot_days_wmean,0.0074556046
dry_days_Lag4,0.0073253997
precip_mean_Lag3,0.007159102
sm_surface_d3_Lag1,0.006980545
ntl_max_d1_wtrend,0.0069772345
defo_rate_150m_d1_wanom_Lag1,0.006947562
et_d1_Lag4,0.006901904
sm_std_wmean,0.0065620597
dist_road_km,0.0063796933
defo_rate_500m_Lag1,0.0063547604
sm_surface_Lag1,0.006292706
sm_std_d1_wanom_Lag4,0.006282091
